region,crop_type,year,area_cultivated_ha,production_kg,yield_kg_ha,NDVI_mean,NDVI_peak,temperature_mean,rainfall
Oromiya,Oats,2021,10582.3,23103277.0,2183.0,0.3063841447870365,0.6002333824441829,19.712568306010926,509.4
Oromiya,Teff,2022,1519814.74,2996758806.0,1972.0,0.3291656534015232,0.7103923674081233,19.278688524590162,627.0
Oromiya,Barely,2022,434183.48,1239939241.0,2856.0,0.3291656534015232,0.7103923674081233,19.278688524590162,627.0
Oromiya,Wheat,2022,1030582.0,3467385140.0,3364.0,0.3291656534015232,0.7103923674081233,19.278688524590162,627.0
Oromiya,Maize,2022,1464047.9,6190777070.0,4229.0,0.29526730825068426,0.7103923674081233,19.96358695652174,625.5
Oromiya,Sorghum,2022,612806.85,1664914738.0,2717.0,0.29722786488718955,0.7103923674081233,19.89485981308411,627.9
Oromiya,Millet,2022,90123.82,235107600.0,2609.0,0.3291656534015232,0.7103923674081233,19.278688524590162,627.0
Oromiya,Oats,2022,24498.96,54715830.0,2233.0,0.3291656534015232,0.7103923674081233,19.278688524590162,627.0
Somalia,Maize,2016,25833.74,61503026.0,2381.0,0.12321904894586436,0.12322947869040497,27.217934782608694,64.69999999999999
Somalia,Sorghum,2016,33056.64,85415780.0,2584.0,0.12321904894586436,0.12322947869040497,27.245794392523365,82.4
Somalia,Maize,2017,24767.08,51594344.0,2083.0,0.12937526179637762,0.1665372745436496,27.148369565217386,90.0
Somalia,Sorghum,2017,40388.03,80674097.0,1997.0,0.17290008246323707,0.28257287836692546,26.742523364485976,153.0
Somalia,Maize,2018,23792.38,57483111.0,2416.0,0.16772911281423725,0.24663052332246926,26.52445652173913,154.5
Somalia,Sorghum,2018,41271.04,95083254.0,2304.0,0.17655553770435206,0.24663052332246926,26.40514018691589,183.1
Somalia,Maize,2019,23792.38,57483111.0,2416.0,0.09524520914331745,0.3284427466020488,26.669021739130436,294.59999999999997
Somalia,Sorghum,2019,41271.04,95083254.0,2304.0,0.1319456499279445,0.540866904783669,26.272429906542058,372.0
Somalia,Maize,2021,53753.17,108443591.0,2017.0,0.12531638396073785,0.2804220280799591,26.822282608695648,126.7
Somalia,Sorghum,2021,45321.84,78293509.0,1727.0,0.130502380050275,0.2804220280799591,26.94439252336449,138.5
Somalia,Maize,2022,10419.0,10251134.0,984.0,0.12915688256446478,0.23518614253259687,26.89239130434783,79.5
Benushangul Gumuz,Teff,2015,21409.26,24659144.0,1152.0,0.7584601154952257,0.8017862569664963,23.92896174863388,2722.1
Benushangul Gumuz,Barely,2015,774.28,1028417.0,1328.0,0.7584601154952257,0.8017862569664963,23.92896174863388,2722.1
Benushangul Gumuz,Wheat,2015,2033.12,0.0,0.0,0.7584601154952257,0.8017862569664963,23.92896174863388,2722.1
Benushangul Gumuz,Maize,2015,45278.92,156509077.0,3457.0,0.8017950084799338,0.8017862569664963,24.133695652173916,2942.6
Benushangul Gumuz,Sorghum,2015,64264.39,137852785.0,2145.0,0.7584601154952257,0.8017862569664963,24.2785046728972,3017.3999999999996
Benushangul Gumuz,Millet,2015,30791.23,47634489.0,1547.0,0.7584601154952257,0.8017862569664963,23.92896174863388,2722.1
Benushangul Gumuz,Teff,2016,27116.65,31527669.0,1163.0,0.7665120539405613,0.8134351270891864,23.53169398907104,2553.3999999999996
Benushangul Gumuz,Barely,2016,592.53,795097.0,1342.0,0.7665120539405613,0.8134351270891864,23.53169398907104,2553.3999999999996
Benushangul Gumuz,Wheat,2016,2951.7,6740195.0,2283.0,0.7665120539405613,0.8134351270891864,23.53169398907104,2553.3999999999996
Benushangul Gumuz,Maize,2016,46998.87,167376015.0,3561.0,0.7781380912130488,0.8134351270891864,23.546739130434784,3048.5
Benushangul Gumuz,Sorghum,2016,51803.23,116895603.0,2257.0,0.766434133346722,0.8134351270891864,23.82102803738318,3063.7999999999997
